"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",98.96154,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",98.94519,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.07729,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.20571,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",99.18984,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",99.05049,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",98.85868,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",98.67564,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",98.51511,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",98.3894,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",98.33019,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",98.34467,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",98.46942,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",98.71153,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",98.99963,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.25822,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.42332,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.51462,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.5748,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.61052,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",99.65764,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",99.77553,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",100.0064,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",100.2976,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.5502,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.6744,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.716,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.7466,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.808,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.8665,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.8811,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.8289,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.7457,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.6784,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.6706,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.7066,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",100.7589,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",100.7878,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",100.7796,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",100.7447,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",100.7213,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.7517,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.8118,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.8621,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",100.9046,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",100.9501,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",100.9959,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-12",101.0407,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-01",101.0639,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-02",101.0392,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-03",100.973,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-04",100.9654,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-05",100.984,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-06",100.983,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-07",100.9907,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-08",100.9697,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-09",100.9562,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-10",100.8505,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-11",100.6322,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-12",100.4133,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-01",100.3576,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-02",100.3445,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-03",100.2704,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-04",100.1805,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-05",100.0815,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-06",99.91435,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-07",99.74651,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-08",99.6753,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-09",99.60555,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-10",99.47038,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-11",99.34957,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-12",99.23891,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-01",99.14156,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-02",98.9538,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-03",98.65704,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-04",98.44787,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-05",98.42172,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-06",98.57304,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-07",98.80992,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-08",99.09351,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-09",99.31919,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-10",99.38253,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-11",99.26192,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-12",99.03461,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-01",98.9129,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-02",98.79272,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-03",98.75252,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-04",98.83292,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-05",98.92545,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-06",98.91304,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-07",98.87495,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-08",98.81813,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-09",98.70952,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-10",98.5631,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-11",98.44789,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-12",98.48568,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-01",98.61055,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-02",98.637,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-03",98.6544,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-04",98.73454,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-05",98.7672,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-06",98.71198,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-07",98.61224,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-08",98.5722,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-09",98.61374,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-10",98.69707,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-11",98.75726,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-12",98.8338,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-01",99.01257,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-02",99.33978,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-03",99.76253,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-04",100.1247,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-05",100.3234,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-06",100.3821,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-07",100.3809,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-08",100.3527,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-09",100.3306,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-10",100.3708,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-11",100.5139,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-12",100.7126,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-01",100.8764,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-02",100.9052,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-03",100.8608,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-04",100.755,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-05",100.6776,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-06",100.6395,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-07",100.6951,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-08",100.7897,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-09",100.8487,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-10",100.8207,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-11",100.7949,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-12",100.7862,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-01",100.8027,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-02",100.7675,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-03",100.7324,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-04",100.7174,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-05",100.7166,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-06",100.7528,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-07",100.7564,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-08",100.7364,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-09",100.7225,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-10",100.7351,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-11",100.8048,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-12",100.9085,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-01",100.999,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-02",101.0424,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-03",101.0542,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-04",101.0608,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-05",101.0712,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-06",101.0975,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-07",101.0632,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-08",100.9863,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-09",100.9085,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-10",100.8681,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-11",100.7953,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-12",100.7288,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-01",100.7144,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-02",100.7482,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-03",100.8115,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-04",100.8841,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-05",100.9357,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-06",100.9965,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-07",101.0575,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-08",101.0719,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-09",101.0137,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-10",100.8799,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-11",100.7693,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-12",100.8062,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-01",100.9208,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-02",101.0299,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-03",101.1095,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-04",101.1418,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-05",101.1874,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-06",101.2275,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-07",101.2743,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-08",101.3465,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-09",101.3718,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-10",101.3419,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-11",101.3075,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-12",101.2819,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-01",101.2733,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-02",101.1921,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-03",101.0582,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-04",100.9266,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-05",100.8594,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-06",100.8631,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-07",100.9205,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-08",100.9892,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-09",101.0692,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-10",101.0549,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-11",101.0052,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-12",100.982,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-01",100.9744,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-02",100.9355,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-03",100.909,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-04",100.8954,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-05",100.8273,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-06",100.7055,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-07",100.491,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-08",100.1211,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-09",99.72759,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-10",99.44665,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-11",99.3639,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-12",99.39973,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-01",99.5105,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-02",99.75416,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-03",100.0779,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-04",100.1883,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-05",100.1815,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-06",100.1537,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-07",100.1026,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-08",100.0475,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-09",99.96794,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-10",99.77325,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-11",99.51798,
