"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2018-09",102.6764,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2018-10",102.9752,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2018-11",103.484,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2018-12",103.9445,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2019-01",104.3084,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2019-02",104.5585,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2019-03",104.5629,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2019-04",104.5436,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2019-05",104.4785,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2019-06",104.4956,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2019-07",104.3448,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2019-08",104.1614,
"CHN","CCI","AMPLITUD","LTRENDIDX","M","2019-09",104.1484,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2000-07",98.83439,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2000-08",98.61134,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2000-09",98.65737,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2000-10",99.05324,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2000-11",99.62859,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2000-12",100.2043,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-01",100.6552,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-02",100.9728,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-03",101.1307,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-04",101.085,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.9327,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.7707,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.6611,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.6063,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.6097,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.6817,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.7876,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.8935,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.9784,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-02",101.0459,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-03",101.1006,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-04",101.1412,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-05",101.1672,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-06",101.1704,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-07",101.1414,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-08",101.0993,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-09",101.0637,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-10",101.0395,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-11",100.9961,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2002-12",100.8833,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-01",100.6662,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-02",100.4305,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-03",100.3026,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-04",100.3884,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-05",100.6047,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-06",100.8575,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-07",101.0903,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-08",101.2947,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-09",101.4694,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-10",101.6063,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-11",101.7071,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2003-12",101.7561,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-01",101.7292,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-02",101.6547,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-03",101.5586,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-04",101.458,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-05",101.376,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-06",101.3486,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-07",101.4135,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-08",101.5435,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-09",101.7165,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-10",101.9187,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-11",102.1068,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2004-12",102.2162,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-01",102.1848,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-02",102.0546,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-03",101.8614,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-04",101.622,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-05",101.3858,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-06",101.2097,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-07",101.1299,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-08",101.0743,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-09",100.9421,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-10",100.6591,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-11",100.3103,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2005-12",100.0125,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-01",99.85179,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-02",99.77172,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-03",99.70094,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-04",99.60094,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-05",99.5043,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-06",99.48054,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-07",99.59862,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-08",99.81659,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-09",100.0952,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-10",100.4115,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-11",100.7122,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2006-12",100.9222,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-01",100.9692,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-02",100.8989,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-03",100.7466,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-04",100.5265,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-05",100.3024,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-06",100.1518,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-07",100.134,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-08",100.1847,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-09",100.219,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-10",100.1659,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-11",100.0199,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2007-12",99.75133,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-01",99.31013,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-02",98.7524,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-03",98.13275,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-04",97.51328,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-05",97.03455,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-06",96.93349,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-07",97.42056,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-08",98.17926,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-09",98.81796,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-10",99.05012,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-11",98.99457,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2008-12",98.80103,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-01",98.56345,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-02",98.37125,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-03",98.33144,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-04",98.54547,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-05",98.9336,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-06",99.42728,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-07",99.98752,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-08",100.5177,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-09",100.8845,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-10",100.969,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-11",100.8813,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2009-12",100.7372,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-01",100.6086,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.5288,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.5317,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-04",100.6424,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-05",100.7846,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-06",100.8572,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-07",100.7789,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-08",100.6028,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-09",100.3829,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-10",100.1391,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-11",99.86586,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2010-12",99.53993,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-01",99.15811,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-02",98.82732,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-03",98.72371,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-04",99.00077,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-05",99.47019,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-06",99.89792,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-07",100.1078,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-08",100.1272,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-09",99.97659,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-10",99.65075,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-11",99.26904,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.96639,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.84016,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.81779,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.81154,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.7693,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.70927,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.67685,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.71935,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.83301,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-09",99.02618,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-10",99.31136,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-11",99.61774,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2012-12",99.85548,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-01",99.95899,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-02",99.99871,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-03",100.0654,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-04",100.2181,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-05",100.4057,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-06",100.5492,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-07",100.5908,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-08",100.5854,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-09",100.6104,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-10",100.7227,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-11",100.8845,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2013-12",101.042,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-01",101.1552,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-02",101.2308,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-03",101.2741,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-04",101.2789,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-05",101.249,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-06",101.1728,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-07",101.0334,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.864,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.7046,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.5885,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.5187,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.507,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.5662,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.6448,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.6734,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.5917,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.4259,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.1995,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-07",99.92839,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-08",99.6767,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-09",99.53497,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-10",99.57936,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-11",99.72065,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.85094,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.89336,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.86283,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.77895,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.65177,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.52102,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.4369,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.44456,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.52187,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.65302,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.83258,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.0156,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.1452,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.1773,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.1577,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.1417,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.1647,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.2095,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.2441,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.2379,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.1885,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.0866,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-10",99.92528,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-11",99.76089,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2017-12",99.67136,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-01",99.7173,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-02",99.82825,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-03",99.91126,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-04",99.89438,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-05",99.79807,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-06",99.64642,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-07",99.45783,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-08",99.29091,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-09",99.22581,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-10",99.32384,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-11",99.48527,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2018-12",99.57893,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2019-01",99.50836,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.34584,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.18745,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.10026,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.06517,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.05205,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2019-07",99.04251,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.03094,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.01768,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2001-04",99.14063,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2001-05",99.19835,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2001-06",99.27975,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2001-07",99.46739,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2001-08",99.73965,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2001-09",99.8328,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2001-10",99.72456,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2001-11",99.56582,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2001-12",99.44361,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-01",99.32555,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-02",99.26028,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-03",99.28045,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-04",99.31881,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-05",99.36779,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-06",99.42854,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-07",99.46358,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-08",99.4595,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-09",99.43733,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-10",99.38594,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-11",99.31342,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.22609,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-01",99.12422,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-02",99.11881,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-03",99.17937,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-04",99.28414,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-05",99.38274,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-06",99.43585,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-07",99.46101,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-08",99.4547,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-09",99.46867,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-10",99.49223,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-11",99.51493,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2003-12",99.53008,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-01",99.53915,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-02",99.55472,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-03",99.59128,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-04",99.66334,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-05",99.72395,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-06",99.77998,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-07",99.84978,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-08",99.92671,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-09",100.0461,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-10",100.2081,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-11",100.3086,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2004-12",100.2828,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-01",100.1446,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-02",99.98196,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-03",99.82849,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-04",99.77778,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-05",99.83691,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-06",99.90122,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-07",99.90088,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-08",99.83018,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-09",99.68417,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-10",99.54714,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-11",99.52184,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2005-12",99.5705,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-01",99.61731,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-02",99.64034,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-03",99.66646,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-04",99.67244,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-05",99.68967,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-06",99.73049,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-07",99.77731,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-08",99.80858,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-09",99.85021,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-10",99.89166,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-11",99.91225,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2006-12",99.884,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-01",99.82864,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-02",99.79082,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-03",99.79256,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-04",99.82108,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-05",99.84734,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-06",99.85043,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-07",99.85626,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-08",99.87141,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-09",99.89045,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-10",99.91932,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-11",99.92597,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2007-12",99.89156,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-01",99.82693,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-02",99.75726,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-03",99.68399,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-04",99.60571,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-05",99.53554,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-06",99.50961,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-07",99.55845,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-08",99.65752,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-09",99.74681,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-10",99.79362,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-11",99.79788,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2008-12",99.77448,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-01",99.78496,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-02",99.83233,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-03",99.89938,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-04",99.98147,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-05",100.0695,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-06",100.1557,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-07",100.2235,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-08",100.2323,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-09",100.1936,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-10",100.1368,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-11",100.0691,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2009-12",100.0138,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2010-01",100.0038,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.0256,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.0305,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2010-04",99.99899,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2010-05",99.94868,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2010-06",99.93338,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2010-07",99.96225,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2010-08",99.99598,
"IDN","CCI","AMPLITUD","LTRENDIDX","M","2010-09",100.0017,
